home,away,kickoff,bookmaker,outcome,odds
Chelsea,Fulham,2025-08-30T11:30:00Z,FanDuel,Chelsea,1.48
Chelsea,Fulham,2025-08-30T11:30:00Z,FanDuel,Fulham,5.9
Chelsea,Fulham,2025-08-30T11:30:00Z,FanDuel,Draw,4.4
Chelsea,Fulham,2025-08-30T11:30:00Z,MyBookie.ag,Chelsea,1.51
Chelsea,Fulham,2025-08-30T11:30:00Z,MyBookie.ag,Fulham,5.6
Chelsea,Fulham,2025-08-30T11:30:00Z,MyBookie.ag,Draw,4.3
Chelsea,Fulham,2025-08-30T11:30:00Z,DraftKings,Chelsea,1.53
Chelsea,Fulham,2025-08-30T11:30:00Z,DraftKings,Fulham,6.0
Chelsea,Fulham,2025-08-30T11:30:00Z,DraftKings,Draw,4.4
Chelsea,Fulham,2025-08-30T11:30:00Z,BetRivers,Chelsea,1.47
Chelsea,Fulham,2025-08-30T11:30:00Z,BetRivers,Fulham,6.25
Chelsea,Fulham,2025-08-30T11:30:00Z,BetRivers,Draw,4.5
Chelsea,Fulham,2025-08-30T11:30:00Z,Bovada,Chelsea,1.52
Chelsea,Fulham,2025-08-30T11:30:00Z,Bovada,Fulham,5.75
Chelsea,Fulham,2025-08-30T11:30:00Z,Bovada,Draw,4.45
Chelsea,Fulham,2025-08-30T11:30:00Z,BetMGM,Chelsea,1.53
Chelsea,Fulham,2025-08-30T11:30:00Z,BetMGM,Fulham,5.75
Chelsea,Fulham,2025-08-30T11:30:00Z,BetMGM,Draw,4.5
Chelsea,Fulham,2025-08-30T11:30:00Z,LowVig.ag,Chelsea,1.55
Chelsea,Fulham,2025-08-30T11:30:00Z,LowVig.ag,Fulham,6.0
Chelsea,Fulham,2025-08-30T11:30:00Z,LowVig.ag,Draw,4.52
Chelsea,Fulham,2025-08-30T11:30:00Z,BetOnline.ag,Chelsea,1.55
Chelsea,Fulham,2025-08-30T11:30:00Z,BetOnline.ag,Fulham,6.0
Chelsea,Fulham,2025-08-30T11:30:00Z,BetOnline.ag,Draw,4.52
Chelsea,Fulham,2025-08-30T11:30:00Z,BetUS,Chelsea,1.52
Chelsea,Fulham,2025-08-30T11:30:00Z,BetUS,Fulham,5.83
Chelsea,Fulham,2025-08-30T11:30:00Z,BetUS,Draw,4.41
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,FanDuel,Bournemouth,4.4
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,FanDuel,Tottenham Hotspur,1.69
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,FanDuel,Draw,4.0
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,MyBookie.ag,Bournemouth,4.2
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,MyBookie.ag,Tottenham Hotspur,1.71
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,MyBookie.ag,Draw,4.0
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,DraftKings,Bournemouth,4.4
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,DraftKings,Tottenham Hotspur,1.71
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,DraftKings,Draw,4.1
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetRivers,Bournemouth,4.4
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetRivers,Tottenham Hotspur,1.68
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetRivers,Draw,4.2
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,Bovada,Bournemouth,4.35
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,Bovada,Tottenham Hotspur,1.71
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,Bovada,Draw,4.15
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetMGM,Bournemouth,4.5
Tottenham Hotspur,Bournemouth,2025-08-30T14:00:00Z,BetMGM,Tottenham Hotspur,1.71
