home,away,kickoff,region,bookmaker,outcome,odds
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,FanDuel,Arsenal,1.33
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,FanDuel,Nottingham Forest,8.0
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,FanDuel,Draw,5.0
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,MyBookie.ag,Arsenal,1.36
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,MyBookie.ag,Nottingham Forest,7.8
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,MyBookie.ag,Draw,4.8
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,DraftKings,Arsenal,1.38
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,DraftKings,Nottingham Forest,8.0
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,DraftKings,Draw,5.0
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,Bovada,Arsenal,1.37
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,Bovada,Nottingham Forest,7.75
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,Bovada,Draw,5.1
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetRivers,Arsenal,1.34
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetRivers,Nottingham Forest,8.5
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetRivers,Draw,5.25
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetMGM,Arsenal,1.4
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetMGM,Nottingham Forest,8.0
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetMGM,Draw,4.8
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,LowVig.ag,Arsenal,1.38
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,LowVig.ag,Nottingham Forest,8.4
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,LowVig.ag,Draw,5.25
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetOnline.ag,Arsenal,1.38
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetOnline.ag,Nottingham Forest,8.4
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetOnline.ag,Draw,5.25
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetUS,Arsenal,1.38
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetUS,Nottingham Forest,8.0
Arsenal,Nottingham Forest,2025-09-13T11:30:00Z,us,BetUS,Draw,5.1
Everton,Aston Villa,2025-09-13T14:00:00Z,us,MyBookie.ag,Aston Villa,2.85
Everton,Aston Villa,2025-09-13T14:00:00Z,us,MyBookie.ag,Everton,2.43
Everton,Aston Villa,2025-09-13T14:00:00Z,us,MyBookie.ag,Draw,3.24
Everton,Aston Villa,2025-09-13T14:00:00Z,us,FanDuel,Aston Villa,2.9
Everton,Aston Villa,2025-09-13T14:00:00Z,us,FanDuel,Everton,2.45
Everton,Aston Villa,2025-09-13T14:00:00Z,us,FanDuel,Draw,3.2
Everton,Aston Villa,2025-09-13T14:00:00Z,us,DraftKings,Aston Villa,2.9
Everton,Aston Villa,2025-09-13T14:00:00Z,us,DraftKings,Everton,2.5
Everton,Aston Villa,2025-09-13T14:00:00Z,us,DraftKings,Draw,3.35
Everton,Aston Villa,2025-09-13T14:00:00Z,us,Bovada,Aston Villa,2.85
Everton,Aston Villa,2025-09-13T14:00:00Z,us,Bovada,Everton,2.49
Everton,Aston Villa,2025-09-13T14:00:00Z,us,Bovada,Draw,3.3
Everton,Aston Villa,2025-09-13T14:00:00Z,us,BetRivers,Aston Villa,2.95
Everton,Aston Villa,2025-09-13T14:00:00Z,us,BetRivers,Everton,2.38
Everton,Aston Villa,2025-09-13T14:00:00Z,us,BetRivers,Draw,3.3
Everton,Aston Villa,2025-09-13T14:00:00Z,us,LowVig.ag,Aston Villa,2.93
Everton,Aston Villa,2025-09-13T14:00:00Z,us,LowVig.ag,Everton,2.5
Everton,Aston Villa,2025-09-13T14:00:00Z,us,LowVig.ag,Draw,3.4
